date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2016-10-28,,,406,,,,123.02365136,0.0387728,964,3089.31104813,880,,0.0001,1677725,629
2016-10-29,8233044.74895,2162291.66781,5366,2044703.10381,4293.37,2532790.0,349.73217668,0.25014267,8245,28788.9746053,8567,767.880172593,1.16e-05,5464079,608
2016-10-30,8473726.45377,1928766.84938,7198,2093165.16955,2014.38,1009210.0,554.91290726,0.2590202,12549,49127.0737707,20764,737.577000979,1.159e-05,5706404,586
2016-10-31,4866266.25959,828426.311978,5830,1033211.87356,570.91,4333820.0,767.92263534,0.25981363,13352,52372.6807118,31110,428.564952609,1.159e-05,5941939,586
2016-11-01,11592612.4611,2800461.61448,5588,4464784.52832,1599.72,4802060.0,972.24066653,0.30023121,15724,73176.4627571,35890,1254.82556709,1.159e-05,5741042,581
2016-11-02,11768232.0893,2824510.29641,6922,5257220.94282,1326.29,3936160.0,1165.93871891,0.41087831,19183,88350.6341474,46342,1248.54285367,4.407e-05,6554648,572
2016-11-03,10083564.8869,2303827.8938,6844,5017614.19298,940.66,2783300.0,1369.4076097,0.55510851,20269,102690.4441,53458,857.092583974,8.708e-05,6343244,572
2016-11-04,7872807.43287,2531896.42158,7208,6170747.83559,887.66,2469390.0,1613.23521831,0.33327751,21782,125429.544687,67212,796.174254143,1.159e-05,7729436,586
2016-11-05,2928623.06509,1993165.02937,3925,5257719.22802,599.52,1984150.0,1799.58306901,0.3127255,19099,163863.301828,91492,182.917526818,0.0001,8446351,579
2016-11-06,2513930.44254,2138500.86694,3185,5428943.96028,504.27,2390590.0,1987.56421187,0.33259283,18802,182194.161948,99627,51.1684029675,0.0001,8687900,571
2016-11-07,3517578.8349,1520049.97564,3730,4144363.13334,319.23,1808930.0,2216.52474988,0.31756121,19570,163844.000224,98557,213.675578964,0.0001,8540973,578
2016-11-08,1459869.25512,1183767.70164,3024,3593588.83929,233.78,2578200.0,2400.65442837,0.25680038,17642,167121.69529,86765,93.506447725,0.0001,6863417,571
2016-11-09,2609039.81376,1969519.66085,2857,5959557.47046,331.69,3706020.0,2573.9037788,0.27552544,17840,175698.668923,86745,126.611555836,0.0001,6949921,565
2016-11-10,2084341.09864,1417482.30836,2436,5296296.49582,254.94,1255400.0,2823.0773086,0.21644517,17171,213352.563567,84839,136.466990663,0.0001,6171240,575
2016-11-11,1678838.98172,1458430.3121,2466,5367304.54516,224.67,1173130.0,3083.92528028,0.249479,17736,225900.276117,106292,146.599951921,0.0001,7249503,585
2016-11-12,1507409.29727,1304260.61617,2443,4954600.70141,183.02,1167540.0,3188.85176279,0.56442918,19210,250962.758404,92425,173.071556237,0.0001,10289442,567
2016-11-13,1255988.16676,1117909.53999,2588,4377352.54469,143.17,1401920.0,3479.2897819,0.97531374,20055,224999.764731,94365,197.349835985,0.0001,14444430,581
2016-11-14,1284628.79871,979226.996117,2699,4024741.05073,117.55,1418260.0,3670.65031568,0.62686131,18849,307449.184019,92446,172.985302232,0.0001,10785350,578
2016-11-15,1014924.39979,926901.334755,2505,4007602.70304,105.15,2030660.0,3946.53296927,0.61395575,18263,326567.155041,101681,133.61799555,0.0001,11216776,587
2016-11-16,1211510.79234,1104401.46879,2426,4623487.19907,109.71,1443840.0,3966.81233667,1.33309286,20155,421672.143412,99314,222.015098991,0.0001,18107736,560
2016-11-17,1145928.03285,1076411.44843,3226,4537601.68097,97.48,915597.0,4389.0324272,4.63911205,23261,421750.682866,103241,209.469568518,0.0001,51471731,590
2016-11-18,1249188.77849,1117605.96077,3087,4447827.9169,87.33,1032890.0,4376.17352498,4.68496121,22924,410822.906144,101377,208.458860065,0.0001,51288378,561
2016-11-19,965556.981862,888079.382121,2926,3957187.16225,71.12,822655.0,4697.13650032,3.5167761,21917,418313.121573,107344,185.609904116,0.0001,40638308,576
2016-11-20,866115.944356,803377.22219,2623,3950024.41745,65.29,598211.0,4857.40378517,2.41914155,20068,499569.818967,112182,185.083305256,0.0001,30017486,571
2016-11-21,696086.40306,643853.848657,2065,3936512.74491,59.96,711312.0,5158.88574908,0.25070414,14491,446685.760074,116236,95.9522413652,0.0001,8350678,581
2016-11-22,690352.823687,641087.914002,2014,3827784.77997,54.01,1326320.0,5215.44288115,0.22120643,15300,451780.497652,107342,102.192871902,0.0001,8290745,565
2016-11-23,837241.795247,800537.549645,2208,4400145.22744,57.54,2391080.0,5592.63590798,0.23750097,15861,496627.02359,126057,68.0879894058,0.0001,9049006,583
2016-11-24,1199613.33861,1109671.59406,2570,6454766.40467,78.43,4090150.0,5855.74328202,0.2835849,17158,621193.72806,137419,141.572284795,0.0001,9587248,588
2016-11-25,1740797.62295,1618401.7356,2325,8518245.13303,96.64,3525760.0,5832.19318061,0.32477331,20085,739992.716534,143235,206.608535648,0.0001,10054028,565
2016-11-26,1284890.68864,1183152.03817,2201,8587013.67322,91.13,1902290.0,6075.12975897,0.28283761,17987,738332.592239,136953,185.894287182,0.0001,9149782,569
2016-11-27,1211014.39132,1140317.69645,2502,7772816.69984,77.33,1465100.0,6322.22644796,1.49714774,18139,720938.417818,139619,190.65138794,0.0001,20730941,573
2016-11-28,1091915.09169,1020335.50325,1993,7421563.30355,69.26,1262350.0,6631.66592259,0.48979351,17185,765618.287913,129642,172.839053074,0.0001,8670318,582
2016-11-29,1238421.95484,1153731.3131,2295,8183994.61001,71.84,1275680.0,6771.66503269,1.90292856,18698,780138.135569,141644,239.508252448,0.0001,20404906,576
2016-11-30,1124709.5926,1070941.88727,1892,8296637.25666,68.76,1389900.0,6831.57400944,0.87701891,17630,820583.149367,137229,307.203739369,0.0001,9084659,564
2016-12-01,1284202.38656,1171852.12519,1965,8763941.16802,68.46,1247650.0,7239.36008268,0.67513927,17656,815436.691194,143212,239.11179125,0.0001,9826948,582
2016-12-02,1281357.36646,1170482.90791,2060,8598161.9811,63.63,1201460.0,7087.42407229,0.71098596,18086,913100.819113,138808,318.15,0.0001,9826403,567
2016-12-03,1085805.10077,1041760.73904,2348,8514079.22812,59.85,837752.0,7162.11938463,2.56551105,19558,892999.462357,136551,234.302602433,0.0001,31182346,573
2016-12-04,1020930.09166,965818.073443,1743,8888444.13838,59.46,825231.0,7187.47466838,0.40813701,17795,874397.11123,134180,297.3,0.0001,9175344,575
2016-12-05,1267617.25193,1157575.3736,2198,9139416.50304,58.39,1036500.0,7087.16389105,1.38852941,19192,900639.79555,138092,232.234664948,0.0001,18724268,567
